ticket_id,text
T001,"I was charged twice for order 8841. Please refund the duplicate charge."
T002,"Can't log in after resetting my password. It just loops back to the login page."
T003,"Production is down for every customer in our region!!!"
T004,"Love the new dashboard. Just wondering if dark mode is planned? Best regards, Alice"
T005,"My package says delivered but I never received it. Sent from my iPhone"
T006,"PAYMENT FAILED PAYMENT FAILED PAYMENT FAILED"
T007,"The report export is broken. It worked yesterday and now downloads an empty CSV."
T008,"We think someone may have accessed our account. Please advise."
T009,"question"
T010,"The invoice has a typo in our company name. Not urgent."
